id;amount;oracle_wallet;wallet_part;contract_id;message;hash;created_at;updated_at;id;name;email;wallet;birth_date;gender;location;category;show_fullname;accepted_terms;accepted_disclaimer;created_at;updated_at;attachments
1;0.500000000000000000;0x67977868745a2ffc1cda97eb2ac0c2aa3e9c930b;0x67977868745a2ffc1cda97eb2ac0c2aa3e9c930b;147;Cheon handed me the wrong equipment all the time!!!;0x01dafa7362c964f65d64bbf54cd448cfb96098f64fe752cee86fd85b76aeb368;2019-12-02 17:12:10;2019-12-02 17:12:10;49;NULL;NULL;0x67977868745a2ffc1cda97eb2ac0c2aa3e9c930b;NULL;NULL;NULL;NULL;1;0;1;2019-12-02 16:26:57;2019-12-02 16:26:57;
2;1.000000000000000000;0x17eb028888704c0537bcdf8426ec243008186274;0;147;;0xdb1451c2b2c3dcad8c820dbd5fb3c61242defb1998ed17e0039eabe59627a9fe;2019-12-09 13:50:40;2019-12-09 13:50:40;22;Test Jur;test@test.com;0x17eb028888704c0537bcdf8426ec243008186274;2000-01-20;F;IN;Lawyer;1;1;1;2019-08-28 06:25:04;2019-09-03 09:19:23;
3;1.000000000000000000;0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36;0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36;154;I am angry. https://drive.google.com/open?id=177dmZnWNk_fXexRpeAWiOxnzZgfo2I-b .;0x09ffa72a721b3d08b4d2fcabcab4d2cc187ae175e03021ceff990c944feacc44;2019-12-09 16:43:21;2019-12-09 16:43:21;45;NULL;NULL;0x514428b0857aae2e1cdb9fd0345c3a78d4f18e36;NULL;NULL;NULL;NULL;1;0;1;2019-11-21 11:37:40;2019-11-21 11:37:40;
4;1.000000000000000000;0x91716604d4b7b5da11f7980c765bcc28b9b481a8;0x91716604d4b7b5da11f7980c765bcc28b9b481a8;159;"The benches do not reflect high-quality standards as requested under clause 3.2 (b) of the contract. The benches have not been delivered at the exact place. In this regard, the photos uploaded by the counterparty does not have any quantitative data suitable to check geolocalization, as it should be according to clause 3.3(e) of the contract. The photos only visually indicate that the delivery happened at a Radboud location, but it was not the exact one (see the photo uploaded in the resolution proof shared folder).
In light of the above, I am asking for a major reduction of the price to compensate the extra transport costs and the damage suffered as a result of the lower quality of the benches.";0xeb7398e5e047df5ffa4efdad80be139d7153a450f0127d71241e33f02a1c1c97;2019-12-23 14:52:01;2019-12-23 14:52:01;43;NULL;NULL;0x91716604d4b7b5da11f7980c765bcc28b9b481a8;NULL;NULL;NULL;NULL;1;0;1;2019-11-21 11:17:32;2019-11-21 11:17:32;
5;1.000000000000000000;0x91716604d4b7b5da11f7980c765bcc28b9b481a8;0x91716604d4b7b5da11f7980c765bcc28b9b481a8;160;"According to clause 3.2 (c) I communicated, at the beginning of the 6th month, in written form that an improvement in terms of content was requested, as we did not reach 5 interactions per day (on the Facebook channel) as in accordance to clause 3.2 (a) iv, during the 5th month of the contract. 
In the light of the above, I am asking for a fair reduction of the price, as now we do not have time left in the contract to adjust the trend.";0xfe320fe404c139668b47c95cdb995439a8644649add184f893e78ab141ced94c;2019-12-23 15:33:40;2019-12-23 15:33:40;43;NULL;NULL;0x91716604d4b7b5da11f7980c765bcc28b9b481a8;NULL;NULL;NULL;NULL;1;0;1;2019-11-21 11:17:32;2019-11-21 11:17:32;
6;8.000000000000000000;0x17eb028888704c0537bcdf8426ec243008186274;0x17eb028888704c0537bcdf8426ec243008186274;151;;0x72e47a04a282fb1eb7776c449fa564b7ca3a2d760c9a3bed779653cc78399653;2019-12-26 05:07:41;2019-12-26 05:07:41;22;Test Jur;test@test.com;0x17eb028888704c0537bcdf8426ec243008186274;2000-01-20;F;IN;Lawyer;1;1;1;2019-08-28 06:25:04;2019-09-03 09:19:23;
7;11.419999999999999929;0x6a0e9513a66fc836b7ee968dbfd6ee151dd86ee7;0x053ddc691fbc5d1c1d006af6857ace7c9197ad0d;151;;0x4d0096948666850acdaeb90ccd4289715dca5d51ebd6a4518259d13e3d73ec73;2019-12-27 16:54:00;2019-12-27 16:54:00;46;Matija ;kontakmatija@gmail.com;0x6a0e9513a66fc836b7ee968dbfd6ee151dd86ee7;1970-01-01;NULL;NULL;NULL;1;1;1;2019-11-23 12:44:57;2019-12-09 16:56:07;
8;6.000000000000000000;0xcf997b47cbc37b7d486fe9efd3376c2b5cbd627f;0x17eb028888704c0537bcdf8426ec243008186274;151;Borrel has given no quality requirements for Mr. Tortellini to rely upon, only quantity requirements which it seems like Mr. Tortellini has met. Plus, I feel like tortellini is a delicious type of pasta so this should be taken into account as well.;0x34a54c2220260419fea65794eef9b237638f508a8ef3304bab5437e06dab1d01;2019-12-29 15:53:41;2019-12-29 15:53:41;52;Nina Buwalda;ninabuwalda@gmail.com;0xcf997b47cbc37b7d486fe9efd3376c2b5cbd627f;1996-12-22;F;NL;Lawyer;1;1;1;2019-12-02 16:29:55;2019-12-02 16:34:22;tortellini.jpg
9;5.000000000000000000;0x9ff6377cde6bc9eb86196967283093cd102ab14c;0x17eb028888704c0537bcdf8426ec243008186274;151;;0x08a823c713a919b3257f157e38e4ffc7077d86c414e146b1944ec31376c93e07;2019-12-29 16:14:00;2019-12-29 16:14:00;56;Veerle van Casand;veerlevancasand@gmail.com;0x9ff6377cde6bc9eb86196967283093cd102ab14c;1999-12-22;F;NL;Other;0;1;1;2019-12-02 16:43:53;2019-12-02 16:44:19;
10;1.010000000000000009;0x6a0e9513a66fc836b7ee968dbfd6ee151dd86ee7;0x053ddc691fbc5d1c1d006af6857ace7c9197ad0d;151;;0x459c3aa25ac1e87d0f8442c3a1a0000a18c99b1b9073322401fbfe00d3c5336e;2019-12-30 08:10:10;2019-12-30 08:10:10;46;Matija ;kontakmatija@gmail.com;0x6a0e9513a66fc836b7ee968dbfd6ee151dd86ee7;1970-01-01;NULL;NULL;NULL;1;1;1;2019-11-23 12:44:57;2019-12-09 16:56:07;
11;7.000000000000000000;0x6a0e9513a66fc836b7ee968dbfd6ee151dd86ee7;0x053ddc691fbc5d1c1d006af6857ace7c9197ad0d;151;;0x5bc4a84f0044cfe2240f62bfe48b041d9398bd7b44111e5516178a2ccbaa0cde;2019-12-30 08:17:20;2019-12-30 08:17:20;46;Matija ;kontakmatija@gmail.com;0x6a0e9513a66fc836b7ee968dbfd6ee151dd86ee7;1970-01-01;NULL;NULL;NULL;1;1;1;2019-11-23 12:44:57;2019-12-09 16:56:07;
